ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12986,MATH,3310,101,Discussion,"0","Matthew Hudson","Th 6:00pm - 6:50pm","Clark Hall 102","Basic Real Analysis","",Wait List,36,35,10
11900,MATH,3310,200,Lecture,"4","Jacob Campbell","MoWe 3:30pm - 4:45pm","New Cabell Hall 389","Basic Real Analysis","",Wait List,36,35,12
12987,MATH,3310,201,Discussion,"0","Yizhen Li","Th 5:00pm - 5:50pm","Clark Hall G004","Basic Real Analysis","",Wait List,36,35,12
11901,MATH,3315,100,Lecture,"4","David Sherman","MoWeFr 11:00am - 11:50am","New Cabell Hall 032","Advanced Calculus and Linear Algebra II","",Open,15,20,0
11902,MATH,3315,101,Discussion,"0","Connor MacMahon","Th 5:00pm - 5:50pm","New Cabell Hall 364","Advanced Calculus and Linear Algebra II","",Open,15,20,0
10768,MATH,3340,001,Lecture,"3","John Imbrie","TuTh 11:00am - 12:15pm","New Cabell Hall 323","Complex Variables with Applications","",Open,33,40,0
11677,MATH,3350,001,Lecture,"3","Kang Lu","TuTh 3:30pm - 4:45pm","New Cabell Hall 309","Applied Linear Algebra","",Wait List,36,36,9
14237,MATH,3350,002,Lecture,"3","Kang Lu","TuTh 5:00pm - 6:15pm","New Cabell Hall 309","Applied Linear Algebra","",Open,34,36,0
20638,MATH,3350,003,Lecture,"3","Brianna Kurtz","TuTh 12:30pm - 1:45pm","New Cabell Hall 323","Applied Linear Algebra","",Wait List,36,36,3
10769,MATH,3351,001,Lecture,"3","Weiqiang Wang","TuTh 9:30am - 10:45am","New Cabell Hall 309","Elementary Linear Algebra","",Open,30,36,0
11571,MATH,3351,002,Lecture,"3","Ben Spitz","MoWe 3:30pm - 4:45pm","New Cabell Hall 232","Elementary Linear Algebra","",Open,35,36,1
10770,MATH,3354,001,Lecture,"3","Beth Branman","MoWeFr 12:00pm - 12:50pm","New Cabell Hall 232","Survey of Algebra","",Wait List,35,35,10
10771,MATH,3354,002,Lecture,"3","You Qi","TuTh 2:00pm - 3:15pm","New Cabell Hall 323","Survey of Algebra","",Wait List,35,35,5
11904,MATH,4110,001,Lecture,"3","Juraj Foldes","TuTh 9:30am - 10:45am","Ridley Hall G006","Introduction to Stochastic Processes","",Open,47,50,0
11905,MATH,4140,001,Lecture,"3","Christian Gromoll","TuTh 2:00pm - 3:15pm","New Cabell Hall 232","Mathematics of Derivative Securities","",Open,28,36,0
12090,MATH,4250,001,Lecture,"3","Yen Do","TuTh 12:30pm - 1:45pm","New Cabell Hall 383","Differential Equations and Dynamical Systems","",Open,11,18,0
14281,MATH,4300,001,Lecture,"3","Joshua Turner","TuTh 3:30pm - 4:45pm","Clark Hall 101","Elementary Numerical Analysis","",Open,28,32,1
